English (autotranslated by google.translate),Georgian (original content),English (column A corrected by GPT4)
Match,ტოლი,Stick
Colorer,ფანერა,Plywood
Tile,კრამიტი,tile
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Board,ფიცარი,Pitsari
Unfinished-Pour-Line,მოთუთუებული-ფურცელი-ლისტი,Corrugated sheet
Unfinished-Pour-Line,მოთუთუებული-ფურცელი-ლისტი,Corrugated sheet
Glue-cement-tomarts,წებო-ცემენტი-tomarts,Siding-cement-Tomarts
Hammer,ანჯამა,Anjama
Hammer,ანჯამა,Anjama
Hammer,ანჯამა,Anjama
Hammer,ანჯამა,Anjama
Hammer,ანჯამა,Anjama
Hammer,ანჯამა,Anjama
Hammer,ანჯამა,Anjama
Bar-Trar-Interfall,ბარი-ტარის-გარეშე,Bar without a beam
Bar-kh-trail,ბარი-ხის-ტარით,Wooden-beamed bar
Realizing-Mulbade-Sethka-Uzhangavari,შესაღობი-მავთულბადე-სეტკა-უჟანგავი,Rebar H-beam
Realizing-Mulbade-Sethka-Uzhangavari,შესაღობი-მავთულბადე-სეტკა-უჟანგავი,Rebar H-beam
Realizing-Mulbade-Sethka-Uzhangavari,შესაღობი-მავთულბადე-სეტკა-უჟანგავი,Rebar H-beam
Realizing-Mulbade-Sethka-Uzhangavari,შესაღობი-მავთულბადე-სეტკა-უჟანგავი,Rebar H-beam
Realizing-Mulbade-Sethka-Uzhangavari,შესაღობი-მავთულბადე-სეტკა-უჟანგავი,Massive round
Realizing-Mulbade-Sethka-Zhangvad,შესაღობი-მავთულბადე-სეტკა-ჟანგვადი,Massive round
Realizing-Mulbade-Sethka-Zhangvad,შესაღობი-მავთულბადე-სეტკა-ჟანგვადი,Massive round
Realizing-Mulbade-Sethka-Zhangvad,შესაღობი-მავთულბადე-სეტკა-ჟანგვადი,Massive round
Orders-H-Balka,ორტესებრი-h-ბალკა,Massive round
Orders-H-Balka,ორტესებრი-h-ბალკა,Massive round
Orders-H-Balka,ორტესებრი-h-ბალკა,Massive round
Orders-H-Balka,ორტესებრი-h-ბალკა,Massive round
Massive-round,მასიური-მრგვალი,Massive round
Massive-round,მასიური-მრგვალი,Massive round
Massive-round,მასიური-მრგვალი,Massive round
Massive-round,მასიური-მრგვალი,Massive round
Massive-round,მასიური-მრგვალი,Massive square
Massive-round,მასიური-მრგვალი,Massive square
Massive-round,მასიური-მრგვალი,Massive square
Massive-round,მასიური-მრგვალი,Massive square
Massive-round,მასიური-მრგვალი,Massive square
Massive-round,მასიური-მრგვალი,U-profile sheathing
Massive-round,მასიური-მრგვალი,U-profile sheathing
Massive-round,მასიური-მრგვალი,U-profile sheathing
Massive-round,მასიური-მრგვალი,U-profile sheathing
A massive-square,მასიური-კვადრატი,U-profile sheathing
A massive-square,მასიური-კვადრატი,U-profile sheathing
A massive-square,მასიური-კვადრატი,U-profile sheathing
A massive-square,მასიური-კვადრატი,Laminated veneer lumber
A massive-square,მასიური-კვადრატი,Laminated veneer lumber
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
