SKU,VAR1 – ?????,VAR2-???????????,VAR3-??????????????,VAR4-??????????????,VAR5-????,VAR6-????,Origin-????????? ???????,?????????? ?????,Variant Sell Price,Image Src,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Georgia,Price / Georgia,Compare At Price / Georgia,Included / International,Price / International,Compare At Price / International,Status
,?????????,?????,???????????,???????????,??????,22x10x5,?????,,2.5,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/7F9D5758-72A7-4187-9CEA-1268946B4949.jpg?v=1697715251,???????-???????-?????-omran-22-10-5,??????? ??????? ????? OMRAN 22*10*5,,Rako.ge,,,,true,Title,Default Title,,,,,,0,shopify,10000,deny,manual,2.5,,true,true,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/7F9D5758-72A7-4187-9CEA-1268946B4949.jpg?v=1697715251,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/03CFABE9-CE03-4311-A9C2-83724D75E6A0.jpg?v=1697715251,???????-???????-?????-omran-22-10-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/03CFABE9-CE03-4311-A9C2-83724D75E6A0.jpg?v=1697715251,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/96CF44D4-F571-4334-BF6E-08510331CC17.jpg?v=1697715251,???????-???????-?????-omran-22-10-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/96CF44D4-F571-4334-BF6E-08510331CC17.jpg?v=1697715251,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,?????,???????????,???????????,??????,23x11x7,?????,,2,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/0E1C7D62-4A63-4F4B-9DEA-EFCA1E084CE1.jpg?v=1697715074,???????-???????-?????-23-11-7,??????? ??????? ????? 23*11*7,,Rako.ge,,,,true,Title,Default Title,,,,,,0,shopify,6000,deny,manual,2,,true,true,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/0E1C7D62-4A63-4F4B-9DEA-EFCA1E084CE1.jpg?v=1697715074,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/BBD21432-9EB0-4900-88BA-6A23106ACC2E.jpg?v=1697715074,???????-???????-?????-23-11-7,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/BBD21432-9EB0-4900-88BA-6A23106ACC2E.jpg?v=1697715074,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/B064F126-F461-4615-AAF4-61259B5B15DE.jpg?v=1697715074,???????-???????-?????-23-11-7,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/B064F126-F461-4615-AAF4-61259B5B15DE.jpg?v=1697715074,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,?????,???????????,???????????,?????,23x11.4x6.5,?????,,6,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/7C3F1A68-1B63-4BB3-9970-EFC88F31D3A4.jpg?v=1697714926,???????????-?????-??-5-23-11-4-6-5,??????????? ????? ??-5 23*11.4*6.5,,Rako.ge,,,,true,Title,Default Title,,,,,,0,shopify,11550,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/7C3F1A68-1B63-4BB3-9970-EFC88F31D3A4.jpg?v=1697714926,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/057F84DD-4A1E-469B-B84A-55D4131CB8A2.jpg?v=1697714926,???????????-?????-??-5-23-11-4-6-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/057F84DD-4A1E-469B-B84A-55D4131CB8A2.jpg?v=1697714926,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/32D22E24-6AE1-4B6D-B660-51D0B834FF86.jpg?v=1697714926,???????????-?????-??-5-23-11-4-6-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/32D22E24-6AE1-4B6D-B660-51D0B834FF86.jpg?v=1697714926,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,?????,??????????? ,???????????,??????,23x11x6.5 ,?????,,4,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/CFB1155B-5BA3-481C-9A97-7A4EA17D1216.jpg?v=1697184288,???????-???????????-?????-1,??????? ??????????? ????? TURK 23*11*6.5,<p>???? 23*11*6.5</p>,Rako.ge,,,,true,Title,Default Title,,,,,,0,shopify,5500,deny,manual,4,,true,true,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/CFB1155B-5BA3-481C-9A97-7A4EA17D1216.jpg?v=1697184288,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
