Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Georgia,Price / Georgia,Compare At Price / Georgia,Included / International,Price / International,Compare At Price / International,Status
წებო-ცემენტი-tomarts,წებო ცემენტი TomArts EkoLine EL-007,"",Rako.ge,,"","",true,Aize,25 kg,,,,,"",0.0,shopify,0,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/1E432F02-F86F-4DBF-8233-F263158DE9F5.heic?v=1700145047,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ჰაიდელბერგ-ცემენტი-400-მარკიანი,ჰაიდელბერგ ცემენტი 400 მარკიანი,"<div class=""shida-7"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">ცემენტი გამოიყენება სამშენებლო საქმიანობისათვის.. ერთი ტომარა არის 40კგ. მარკიანობა 400</p>
</div>",Rako.ge,"Hardware > Building Consumables > Masonry Consumables > Cement, Mortar & Concrete Mixes",cement,"ცემენტები, ცემენტი, ჰაიდელბერგ ცემენტი",true,Size,400 მარკიანი,,,,,"",0.0,,-1,deny,manual,14.50,,false,false,'00914967,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/400.jpg?v=1690824675,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ჰაიდელბერგ-ცემენტი-400-მარკიანი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/400_2.jpg?v=1690824675,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ჰაიდელბერგ-ცემენტი-400-მარკიანი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/400_3.jpg?v=1690824675,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ცეცხლგამძლე-თიხა-შამუთი,ცეცხლგამძლე თიხა (შამუთი),"<span data-mce-fragment=""1"">გამოიყენება ბუხრების და ღუმელების ასაშენებლად.</span>",Rako.ge,"Hardware > Building Consumables > Masonry Consumables > Cement, Mortar & Concrete Mixes",cement,"ცემენტები, ცემენტი",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,25.00,,false,false,'36886295,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/6270b7c0dc30bcd3c599b45ecc660f9a.png?v=1690824562,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ცეცხლგამძლე-თიხა-შამუთი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_139ec2f2-0e2e-4b22-abe9-eca0b4f89cfe.png?v=1690824562,2,,,,,,,,,,,,,,,,,,,,,,,,,,
თაბაშირი,თაბაშირი - 30კგ,"<p><span data-mce-fragment=""1"">გამოიყენება სარემონტო სამუშაოების დროს ფორმების გამოსაყვანად..</span><br data-mce-fragment=""1""><span class=""masha_index masha_index6"" rel=""6"" data-mce-fragment=""1""></span><span data-mce-fragment=""1"">30კგ-ს ფასია 12 ლარი.</span></p>
<p> </p>
<p><span data-mce-fragment=""1"">მხოლოდ თბილისის ფილიალში </span></p>",Rako.ge,"Hardware > Building Consumables > Masonry Consumables > Cement, Mortar & Concrete Mixes",cement,"თაბაშირი, ცემენტები, ცემენტი",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,12.00,,false,false,'87799831,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_f79ce299-ae48-4996-bb22-fd586c4f0379.jpg?v=1690824467,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
თაბაშირი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_0bf7903f-e99e-479b-b8ba-15c35ed09549.jpg?v=1690824468,2,,,,,,,,,,,,,,,,,,,,,,,,,,
თაბაშირი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/eef622f36539ef7454eaaee5ddc158b5.jpg?v=1690824468,3,,,,,,,,,,,,,,,,,,,,,,,,,,
გაჯი,გაჯი - ქართული (რუსთავი),"<span data-mce-fragment=""1"">1 ტომარა (40კგ) 5 ლარი. გამოიყენება სარემონტო სამუშაოებისთვის კედლების გასალესად.</span>",Rako.ge,"Hardware > Building Consumables > Masonry Consumables > Cement, Mortar & Concrete Mixes",cement,"გაჯი, ცემენტები, ცემენტი",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,6.00,,false,false,'23083031,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3210118dcf53a5e043096eb33ff556f2.jpg?v=1690824388,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
გაჯი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_7e3a34f4-ec27-435f-a249-05f241ed63a3.jpg?v=1690824388,2,,,,,,,,,,,,,,,,,,,,,,,,,,
გაჯი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_0b6f0c27-2f2a-4e61-add0-f6eaeb241656.jpg?v=1690824388,3,,,,,,,,,,,,,,,,,,,,,,,,,,
პორტლანდცემენტი,პორტლანდცემენტი,"<span data-mce-fragment=""1"">1ტონა 260ლ. 1 მეშოკი 50კგ. 13.00ლ ცემენტი გამოიყენება სამსენებლო საქმიანობისათვის</span>",Rako.ge,"Hardware > Building Consumables > Masonry Consumables > Cement, Mortar & Concrete Mixes",cement,"პორტლანდცემენტი, ცემენტები, ცემენტი, წებოცემენტი",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,13.00,,false,false,'74669847,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3a3ae48ac054a1fe2bdc13befa9fe0ae.jpg?v=1690822982,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
პორტლანდცემენტი,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_787df3d0-da27-4732-a22f-2643e8b7f0cf.jpg?v=1690822982,2,,,,,,,,,,,,,,,,,,,,,,,,,,
